MSA,"MSA Name","2001 Jobs","2002 Jobs","2003 Jobs","2004 Jobs","2005 Jobs","2006 Jobs","2007 Jobs","2008 Jobs","2009 Jobs","2010 Jobs","2011 Jobs","2012 Jobs","2013 Jobs","2014 Jobs","2015 Jobs","2016 Jobs","2017 Jobs","2018 Jobs","2019 Jobs","2020 Jobs","2021 Jobs","2022 Jobs","2023 Jobs","2024 Jobs","2025 Jobs","2026 Jobs","2027 Jobs","2028 Jobs","2029 Jobs","2001 Resident Workers","2002 Resident Workers","2003 Resident Workers","2004 Resident Workers","2005 Resident Workers","2006 Resident Workers","2007 Resident Workers","2008 Resident Workers","2009 Resident Workers","2010 Resident Workers","2011 Resident Workers","2012 Resident Workers","2013 Resident Workers","2014 Resident Workers","2015 Resident Workers","2016 Resident Workers","2017 Resident Workers","2018 Resident Workers","2001 Location Quotient","2002 Location Quotient","2003 Location Quotient","2004 Location Quotient","2005 Location Quotient","2006 Location Quotient","2007 Location Quotient","2008 Location Quotient","2009 Location Quotient","2010 Location Quotient","2011 Location Quotient","2012 Location Quotient","2013 Location Quotient","2014 Location Quotient","2015 Location Quotient","2016 Location Quotient","2017 Location Quotient","2018 Location Quotient","2019 Location Quotient","2020 Location Quotient","2021 Location Quotient","2022 Location Quotient","2023 Location Quotient","2024 Location Quotient","2025 Location Quotient","2026 Location Quotient","2027 Location Quotient","2028 Location Quotient","2029 Location Quotient","Age 45-54 % of Region","Age 14-18 % of Region","Age 19-21 % of Region","Age 22-24 % of Region","Age 25-34 % of Region","Age 35-44 % of Region","Age 55-64 % of Region","Age 65+ % of Region"
35620,"New York-Newark-Jersey City, NY-NJ-PA",341351.923981,331989.44163,328235.533477,327854.161053,329210.188139,330215.030588,335000.98081,331294.867665,312451.801957,309906.085306,312009.865029,317125.939964,324391.945133,333859.50161,339444.038459,345191.882919,358330.44932,363953.860368,369732.299697,374240.912902,377856.86296,380833.722859,382121.873141,384596.366263,386687.610441,388431.634275,389864.507425,391014.151492,391907.99901,331971.925271,322893.015661,319265.899516,318488.020559,320012.936959,318792.695789,323483.41103,319650.425749,301127.384055,297943.107758,300544.733084,305024.194966,311865.299165,321390.74887,327231.153822,333106.896088,345064.999025,350313.184842,0.949048,0.954733,0.956301,0.947688,0.939897,0.933055,0.933706,0.930612,0.93375,0.932961,0.933604,0.938933,0.938309,0.932239,0.921188,0.912545,0.923813,0.920295,0.917057,0.914247,0.911747,0.909491,0.90787,0.905823,0.903927,0.902165,0.900523,0.898985,0.897536,0.198593778335,0.0203542205883,0.0673326848997,0.085290998313,0.24522604505,0.187935838045,0.148147842859,0.0471213395099
31080,"Los Angeles-Long Beach-Anaheim, CA",308832.247945,302561.185043,295121.609903,296917.665708,303190.252877,308991.792593,305598.619837,296033.603838,271072.600789,267710.646046,269252.291176,276952.755946,281442.333262,290026.007867,297355.380636,303572.283206,308455.873548,311057.242686,312744.787152,313812.90189,314489.302672,314871.782378,314519.457758,314673.6077,314655.366062,314483.928275,314174.357976,313739.832329,313192.741028,289542.7323,283829.004407,276533.490461,279241.67767,287046.111811,293622.52994,287521.257092,278538.584025,253223.132913,248978.823604,250977.850033,256752.35932,261253.453749,270325.564469,278796.92006,285348.455789,291284.099931,294258.704011,1.257907,1.266445,1.254033,1.245877,1.250978,1.255106,1.238221,1.222058,1.222921,1.234947,1.235531,1.225915,1.227098,1.219943,1.210954,1.193985,1.187875,1.175221,1.165175,1.1569,1.150009,1.144213,1.140597,1.135564,1.131077,1.127083,1.123518,1.120333,1.117481,0.198320565041,0.0149329544103,0.0688812661345,0.0854987992554,0.250735395763,0.200111233632,0.136229051267,0.0452875196507
16980,"Chicago-Naperville-Elgin, IL-IN-WI",257587.748539,247920.850153,244149.724359,246288.482485,250022.755191,254970.189488,257803.911532,253471.031632,232902.210798,230008.835521,232690.441522,237153.785596,246206.295637,254079.921877,261187.651908,267908.554012,275250.127336,279422.275053,282762.474468,285237.749553,287135.405273,288627.64804,289096.735286,290238.663126,291143.120686,291836.073107,292338.055834,292667.013541,292838.726596,249247.610355,239865.682099,235878.882445,237916.632132,240674.379242,245274.951627,245509.502822,243106.728003,222281.789678,219430.644163,221952.169967,226214.575447,234113.632547,242146.984656,249048.558332,254574.181405,260902.486772,265064.550995,1.325561,1.327222,1.328549,1.333356,1.336425,1.344696,1.356588,1.356876,1.348901,1.358163,1.362715,1.373382,1.397165,1.395812,1.395905,1.399453,1.411136,1.414246,1.416204,1.417472,1.418442,1.419273,1.420047,1.420632,1.421173,1.421694,1.422194,1.422678,1.423138,0.188950762646,0.0291029339136,0.0789665810137,0.085329716343,0.235536214042,0.189519794433,0.144755960518,0.0478416159071
19100,"Dallas-Fort Worth-Arlington, TX",142986.323034,136961.350132,132569.110466,135288.003375,139858.373893,144705.079063,147249.136147,148162.286036,137267.391804,135754.403915,137713.422134,141637.907122,146573.652304,153993.575601,161005.49789,168455.754023,175116.139757,180045.765771,185178.638766,189312.015009,192748.960903,195663.826587,197181.423566,199615.360948,201747.58006,203606.486022,205216.180161,206599.189021,207777.889764,132504.673311,127008.727655,123177.982009,125959.320665,132426.938846,136621.646686,139603.048631,139540.606537,128495.792687,126596.143516,128561.788677,131299.485789,135599.649047,142239.046161,149605.188888,156174.759603,162008.928575,166535.561047,1.176335,1.176477,1.166705,1.175667,1.180507,1.183075,1.173683,1.17406,1.16235,1.15719,1.15144,1.156042,1.155708,1.156882,1.158993,1.168111,1.172502,1.177579,1.178624,1.17931,1.179827,1.180273,1.180149,1.180357,1.180503,1.1806,1.180641,1.180633,1.180581,0.190784577275,0.0263877009209,0.0815791519945,0.0875276318274,0.244737455983,0.199421259012,0.129211423747,0.0403563533764
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",121049.071284,117839.928018,118305.948225,119012.113767,119791.365177,121129.814163,121416.049783,120652.504806,114311.776332,112380.43045,111337.469088,111220.644766,114190.86061,118153.745197,120529.243598,124598.722853,127318.222267,127165.960205,128114.074005,128766.4888,129218.532554,129522.018162,129462.138104,129676.264319,129799.049749,129841.750104,129812.728457,129720.46191,129568.870852,121773.085748,118772.913549,119037.200922,120685.524608,120149.230075,120491.663257,121262.808216,121091.581452,113486.044689,110834.813794,110064.594415,110322.661243,112834.51277,116682.664533,120001.081045,124040.150474,127080.909421,127552.060203,1.017775,1.017975,1.02982,1.029249,1.021451,1.028408,1.031827,1.035546,1.042832,1.039441,1.030003,1.027113,1.03732,1.043622,1.043517,1.05161,1.050363,1.034652,1.030188,1.026355,1.023027,1.020081,1.018084,1.015588,1.013269,1.011127,1.009141,1.007304,1.005578,0.191426953745,0.026768161301,0.077599358319,0.0893320541654,0.24035512637,0.174472736423,0.154082065961,0.0459635437145
12060,"Atlanta-Sandy Springs-Alpharetta, GA",110310.129915,106694.786716,103930.818068,106787.136687,111319.613586,113481.017066,114758.834761,112113.722782,102803.112979,101751.663217,103689.305142,106294.720487,109854.094954,115575.043152,121031.796814,126859.729367,132479.272507,135745.760994,139208.410308,141925.05845,144112.811273,145908.381412,146675.903256,148127.575213,149349.683074,150364.963808,151193.858714,151855.076695,152364.613361,104964.287883,101807.666135,99152.7501451,100957.788504,106328.323016,108862.283864,110099.320952,108484.308403,99278.2043286,98158.0166552,100217.146609,101867.419943,105532.563719,111400.365659,116456.125412,122464.347362,127971.35924,131060.075132,1.113907,1.108805,1.101691,1.114604,1.127434,1.122058,1.119403,1.121122,1.119069,1.129385,1.133067,1.147489,1.154637,1.158604,1.167131,1.17502,1.183961,1.185712,1.188036,1.189902,1.191454,1.192759,1.193535,1.194641,1.195627,1.196514,1.197312,1.198038,1.198691,0.204425913102,0.0209877270785,0.0757517716912,0.0863156188764,0.247992574367,0.20498578227,0.127024000707,0.0325239786071
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",102330.971256,100361.484366,98989.6904898,99906.794923,104528.015585,104872.837032,105120.043283,101458.784623,93796.9036684,93187.8120317,95419.8546054,97721.8085425,101159.963463,106574.135756,111471.309241,115292.357421,118414.693608,120303.644172,122119.146613,123447.667581,124456.334932,125223.558344,125397.992984,125954.518694,126374.246309,126670.914583,126857.365395,126944.441396,126940.635907,100649.753594,98585.2975212,97392.558096,98093.4045783,103079.907642,101766.472917,103102.848606,99198.6218306,91189.9298516,90154.0150706,90924.4506941,94144.9365392,97685.457266,103106.446398,107121.028237,110786.12762,113836.969726,115786.148485,1.065342,1.061537,1.056487,1.046539,1.05292,1.039466,1.042338,1.042195,1.053622,1.063549,1.076125,1.082122,1.082372,1.089533,1.092817,1.08793,1.089794,1.086154,1.084359,1.08281,1.081645,1.080774,1.080547,1.079918,1.079443,1.079104,1.078887,1.078776,1.078742,0.216476592632,0.0209053730549,0.0639546482245,0.0708205878441,0.228437957175,0.200699893603,0.1480333156,0.0506633195904
14460,"Boston-Cambridge-Newton, MA-NH",92647.2528006,87342.7697094,84935.8377705,84658.1917848,84491.1027085,85325.8976977,86498.7993868,85312.9405274,80583.3901657,80815.3818355,81047.3659318,81681.8396256,82393.3094849,83901.126405,85945.7529937,87199.5497478,87817.8766125,88646.0141398,89342.0230323,89841.9858136,90204.0461732,90458.8311283,90451.2422087,90639.6476226,90764.6533366,90832.7288625,90849.7339952,90820.9527753,90753.00077,83344.803802,78922.1846687,76953.7460087,76788.1818224,76627.4687776,77465.0895127,78621.976326,77572.3759972,73277.1229551,73539.3544045,73778.4422714,74538.3828371,75112.0410825,76676.1106481,78475.3828903,79586.6368259,80462.662219,81239.8963069,0.848943,0.838394,0.837235,0.837927,0.825541,0.826381,0.827813,0.81976,0.81934,0.822882,0.818175,0.807384,0.801688,0.785053,0.780743,0.769333,0.757624,0.753173,0.74761,0.743215,0.739626,0.736632,0.734884,0.732488,0.730382,0.728534,0.726912,0.725493,0.724266,0.185783904519,0.0467477381946,0.0806466168806,0.0899420165603,0.233343862103,0.162297227173,0.151219457167,0.0500304582271
26420,"Houston-The Woodlands-Sugar Land, TX",92207.9000721,90058.1129291,88388.997608,90025.2076205,93751.8872897,97680.906649,101151.485788,102769.618717,99116.356461,97411.7899029,100076.586735,103690.28706,107324.888104,112439.615024,113217.306408,112993.156353,115079.248752,118364.552607,120703.039172,122590.671964,124153.570545,125472.077844,126141.67406,127233.634379,128184.750256,129007.98661,129714.93893,130316.694084,130825.858366,90975.5956001,88754.1829311,87448.2362695,89006.4751575,91641.7288163,95466.1496861,98950.7649234,100144.821115,95871.7594931,93451.4211915,95051.9090242,98906.4620699,102624.376584,107909.306377,109070.877115,109178.999735,111342.917776,114500.823866,0.920828,0.919135,0.91662,0.924157,0.935587,0.938965,0.933778,0.935539,0.949238,0.942733,0.947306,0.9492,0.941206,0.938851,0.920148,0.911073,0.912609,0.918248,0.917689,0.917256,0.916873,0.916557,0.916125,0.915734,0.915363,0.915011,0.914671,0.914345,0.914048,0.185544713387,0.0263084526676,0.0807164279981,0.0848561652516,0.244945718751,0.200963122545,0.133569889748,0.043087061209
19820,"Detroit-Warren-Dearborn, MI",90457.9984325,85949.4144276,84099.086818,82589.0486454,82266.0217556,79125.6956156,78011.0363961,75151.1959658,66117.0394295,66176.9768629,68559.0997169,70925.953042,72023.5324576,72991.229301,73439.527846,73806.5393792,75198.1701868,76695.5120202,77368.0752699,77858.5846426,78217.2061005,78479.2400052,78489.4879821,78690.8580135,78831.4405172,78917.3145408,78955.3933421,78949.5733357,78906.390803,86205.2306022,82199.2581453,80466.2914697,78922.7774242,78588.9847353,75781.3888991,75250.6998514,72378.8643541,63988.2779798,63713.4142772,66353.7217178,68629.8328748,69841.3547462,70861.2187292,71464.2489584,72090.1444454,73382.0827501,74696.1889744,0.995163,0.987519,0.99108,0.979915,0.973959,0.959106,0.966298,0.972399,0.961377,0.969545,0.978337,0.98799,0.979283,0.963536,0.947066,0.924096,0.921279,0.927832,0.926787,0.926067,0.925536,0.92508,0.925049,0.92475,0.924508,0.924321,0.924198,0.924126,0.924121,0.200584124335,0.02858036925,0.0834072181079,0.0906175028685,0.237091895275,0.177505997705,0.147973818713,0.0342260352561
